"","Player","Team","Pos","TOI","type_name","raw_value","percentile","category"
"1","Aaron Ekblad","FLA","D",294,"PE60",4.3,86.4,"Entries"
"2","Aaron Ekblad","FLA","D",294,"PX60",9.6,54.6,"Exits"
"3","Aaron Ekblad","FLA","D",294,"PEA60",13.1,49.9,"Entries Allowed"
"4","Aaron Ekblad","FLA","D",294,"iSF60",11.9,73.5,"Shot Contributions"
"5","Aaron Ekblad","FLA","D",294,"isA60",12.9,90.3,"Shot Contributions"
"6","Aaron Ekblad","FLA","D",294,"PEperc",51.2,90.9,"Entries"
"7","Aaron Ekblad","FLA","D",294,"PXperc",43.9,42,"Exits"
"8","Aaron Ekblad","FLA","D",294,"PEAperc",62.7,78.5,"Entries Allowed"
"9","Adam Fox","NYR","D",309,"PE60",3.5,73.9,"Entries"
"10","Adam Fox","NYR","D",309,"PX60",14.9,97,"Exits"
"11","Adam Fox","NYR","D",309,"PEA60",9.7,89.8,"Entries Allowed"
"12","Adam Fox","NYR","D",309,"iSF60",8.7,29,"Shot Contributions"
"13","Adam Fox","NYR","D",309,"isA60",15.7,98.8,"Shot Contributions"
"14","Adam Fox","NYR","D",309,"PEperc",47.4,86,"Entries"
"15","Adam Fox","NYR","D",309,"PXperc",59.7,92.6,"Exits"
"16","Adam Fox","NYR","D",309,"PEAperc",71.4,32.6,"Entries Allowed"
"17","Adam Gaudette","VAN","F",186,"PE60",8.7,37.6,"Entries"
"18","Adam Gaudette","VAN","F",186,"PX60",8.4,52,"Exits"
"19","Adam Gaudette","VAN","F",186,"iSF60",9,37.4,"Shot Contributions"
"20","Adam Gaudette","VAN","F",186,"isA60",12.2,34.6,"Shot Contributions"
"21","Adam Gaudette","VAN","F",186,"PEperc",57.4,67.2,"Entries"
"22","Adam Gaudette","VAN","F",186,"PXperc",60.5,61.3,"Exits"
"23","Adam Henrique","ANA","F",230,"PE60",6.5,17.1,"Entries"
"24","Adam Henrique","ANA","F",230,"PX60",5,8.3,"Exits"
"25","Adam Henrique","ANA","F",230,"iSF60",7.3,20,"Shot Contributions"
"26","Adam Henrique","ANA","F",230,"isA60",14.6,54.5,"Shot Contributions"
"27","Adam Henrique","ANA","F",230,"PEperc",48.1,38.1,"Entries"
"28","Adam Henrique","ANA","F",230,"PXperc",42.2,7.7,"Exits"
"29","Adam Larsson","EDM","D",230,"PE60",1.3,27.2,"Entries"
"30","Adam Larsson","EDM","D",230,"PX60",7,22.9,"Exits"
"31","Adam Larsson","EDM","D",230,"PEA60",14.1,35.5,"Entries Allowed"
"32","Adam Larsson","EDM","D",230,"iSF60",9.1,34.2,"Shot Contributions"
"33","Adam Larsson","EDM","D",230,"isA60",5.5,11.2,"Shot Contributions"
"34","Adam Larsson","EDM","D",230,"PEperc",18.5,20.6,"Entries"
"35","Adam Larsson","EDM","D",230,"PXperc",35.1,13,"Exits"
"36","Adam Larsson","EDM","D",230,"PEAperc",60,88.1,"Entries Allowed"
"37","Adam Lowry","WPG","F",181,"PE60",9.9,52.1,"Entries"
"38","Adam Lowry","WPG","F",181,"PX60",8.3,50.6,"Exits"
"39","Adam Lowry","WPG","F",181,"iSF60",8.3,29.4,"Shot Contributions"
"40","Adam Lowry","WPG","F",181,"isA60",14.9,57.1,"Shot Contributions"
"41","Adam Lowry","WPG","F",181,"PEperc",56.6,64.7,"Entries"
"42","Adam Lowry","WPG","F",181,"PXperc",53.2,34.6,"Exits"
"43","Adam Pelech","NYI","D",224,"PE60",2.4,50.9,"Entries"
"44","Adam Pelech","NYI","D",224,"PX60",8.6,40.7,"Exits"
"45","Adam Pelech","NYI","D",224,"PEA60",16,13.2,"Entries Allowed"
"46","Adam Pelech","NYI","D",224,"iSF60",8.8,30.2,"Shot Contributions"
"47","Adam Pelech","NYI","D",224,"isA60",8.6,43.2,"Shot Contributions"
"48","Adam Pelech","NYI","D",224,"PEperc",31,50.1,"Entries"
"49","Adam Pelech","NYI","D",224,"PXperc",49.2,63.8,"Exits"
"50","Adam Pelech","NYI","D",224,"PEAperc",71.4,32.6,"Entries Allowed"
"51","Adrian Kempe","L.A","F",133,"PE60",11.3,67,"Entries"
"52","Adrian Kempe","L.A","F",133,"PX60",6.3,20.7,"Exits"
"53","Adrian Kempe","L.A","F",133,"iSF60",12.2,73.8,"Shot Contributions"
"54","Adrian Kempe","L.A","F",133,"isA60",9.5,16.2,"Shot Contributions"
"55","Adrian Kempe","L.A","F",133,"PEperc",58.1,69.2,"Entries"
"56","Adrian Kempe","L.A","F",133,"PXperc",58.3,53.5,"Exits"
"57","Alec Martinez","L.A/VGK","D",162,"PE60",1.9,38.5,"Entries"
"58","Alec Martinez","L.A/VGK","D",162,"PX60",8.5,40.3,"Exits"
"59","Alec Martinez","L.A/VGK","D",162,"PEA60",10,87.6,"Entries Allowed"
"60","Alec Martinez","L.A/VGK","D",162,"iSF60",9.3,36.3,"Shot Contributions"
"61","Alec Martinez","L.A/VGK","D",162,"isA60",8.5,42.8,"Shot Contributions"
"62","Alec Martinez","L.A/VGK","D",162,"PEperc",38.5,68.9,"Entries"
"63","Alec Martinez","L.A/VGK","D",162,"PXperc",54.8,82.5,"Exits"
"64","Alec Martinez","L.A/VGK","D",162,"PEAperc",64.3,71.6,"Entries Allowed"
"65","Aleksander Barkov","FLA","F",233,"PE60",15.7,95.9,"Entries"
"66","Aleksander Barkov","FLA","F",233,"PX60",10.8,85.9,"Exits"
"67","Aleksander Barkov","FLA","F",233,"iSF60",9.8,46.4,"Shot Contributions"
"68","Aleksander Barkov","FLA","F",233,"isA60",23.9,98.2,"Shot Contributions"
"69","Aleksander Barkov","FLA","F",233,"PEperc",75.3,96.9,"Entries"
"70","Aleksander Barkov","FLA","F",233,"PXperc",68.9,85.9,"Exits"
"71","Alex Chiasson","EDM","F",261,"PE60",5.7,12,"Entries"
"72","Alex Chiasson","EDM","F",261,"PX60",4.4,5.1,"Exits"
"73","Alex Chiasson","EDM","F",261,"iSF60",8.5,31.8,"Shot Contributions"
"74","Alex Chiasson","EDM","F",261,"isA60",12,32.5,"Shot Contributions"
"75","Alex Chiasson","EDM","F",261,"PEperc",41,19.2,"Entries"
"76","Alex Chiasson","EDM","F",261,"PXperc",35.8,2.1,"Exits"
"77","Alex Debrincat","CHI","F",240,"PE60",13.7,87.8,"Entries"
"78","Alex Debrincat","CHI","F",240,"PX60",13.7,99,"Exits"
"79","Alex Debrincat","CHI","F",240,"iSF60",17.5,98.8,"Shot Contributions"
"80","Alex Debrincat","CHI","F",240,"isA60",13.2,42.9,"Shot Contributions"
"81","Alex Debrincat","CHI","F",240,"PEperc",59.8,73.6,"Entries"
"82","Alex Debrincat","CHI","F",240,"PXperc",65.5,77.6,"Exits"
"83","Alex Galchenyuk","MIN/PIT","F",176,"PE60",8.9,39.6,"Entries"
"84","Alex Galchenyuk","MIN/PIT","F",176,"PX60",8.5,54.7,"Exits"
"85","Alex Galchenyuk","MIN/PIT","F",176,"iSF60",9.9,47.8,"Shot Contributions"
"86","Alex Galchenyuk","MIN/PIT","F",176,"isA60",15.7,63.5,"Shot Contributions"
"87","Alex Galchenyuk","MIN/PIT","F",176,"PEperc",60.5,75.4,"Entries"
"88","Alex Galchenyuk","MIN/PIT","F",176,"PXperc",58.1,52.7,"Exits"
"89","Alex Goligoski","ARI","D",309,"PE60",1.4,28.3,"Entries"
"90","Alex Goligoski","ARI","D",309,"PX60",8.3,38.1,"Exits"
"91","Alex Goligoski","ARI","D",309,"PEA60",15.1,21.8,"Entries Allowed"
"92","Alex Goligoski","ARI","D",309,"iSF60",7.4,14.4,"Shot Contributions"
"93","Alex Goligoski","ARI","D",309,"isA60",8.7,45.7,"Shot Contributions"
"94","Alex Goligoski","ARI","D",309,"PEperc",25,34.6,"Entries"
"95","Alex Goligoski","ARI","D",309,"PXperc",45.7,49.6,"Exits"
"96","Alex Goligoski","ARI","D",309,"PEAperc",70.3,38.8,"Entries Allowed"
"97","Alex Iafallo","L.A","F",146,"PE60",7.8,28.2,"Entries"
"98","Alex Iafallo","L.A","F",146,"PX60",9.9,75,"Exits"
"99","Alex Iafallo","L.A","F",146,"iSF60",6.6,14.3,"Shot Contributions"
"100","Alex Iafallo","L.A","F",146,"isA60",9,14,"Shot Contributions"
"101","Alex Iafallo","L.A","F",146,"PEperc",46.3,32.9,"Entries"
"102","Alex Iafallo","L.A","F",146,"PXperc",61.5,65.1,"Exits"
"103","Alex Killorn","T.B","F",205,"PE60",9.4,45.2,"Entries"
"104","Alex Killorn","T.B","F",205,"PX60",9.9,76.1,"Exits"
"105","Alex Killorn","T.B","F",205,"iSF60",11.4,65.7,"Shot Contributions"
"106","Alex Killorn","T.B","F",205,"isA60",17.2,75,"Shot Contributions"
"107","Alex Killorn","T.B","F",205,"PEperc",41,19.3,"Entries"
"108","Alex Killorn","T.B","F",205,"PXperc",63,69.9,"Exits"
"109","Alex Nylander","CHI","F",183,"PE60",12.8,81.1,"Entries"
"110","Alex Nylander","CHI","F",183,"PX60",11.1,88.8,"Exits"
